problem_num,A_offer,B_offer,model,result,task
M1,This option consistently settles for second place,Choosing this means accepting the chance that you might not gain anything at all,gemini,"(50, 0, 0.75)",prob_and_value_for_winning
M1,This option consistently settles for second place,Choosing this means accepting the chance that you might not gain anything at all,llama,,prob_and_value_for_winning
M100,"Like a beacon more frequently bright, this option promises mostly positive signals in a fog of chance","For those who value potential over predictability, this choice could be considered superior",gemini,"(45, 50, 0.6)",prob_and_value_for_winning
M100,"Like a beacon more frequently bright, this option promises mostly positive signals in a fog of chance","For those who value potential over predictability, this choice could be considered superior",llama,,prob_and_value_for_winning
M1000,This option stands out with a lower risk profile compared to its counterpart,"Go with this if you're aiming for a chance at a big win, which cannot be matched by the steady, smaller returns of the alternative",gemini,"(20, 50, 0.2)",prob_and_value_for_winning
M1000,This option stands out with a lower risk profile compared to its counterpart,"Go with this if you're aiming for a chance at a big win, which cannot be matched by the steady, smaller returns of the alternative",llama,,prob_and_value_for_winning
M101,"Although less severe than the other option, this choice still carries a risk of an increased loss","Despite possessing the lowest of lows, this option unpredictably outshines its rival at times",gemini,"(20, 10, 0.6)",prob_and_value_for_winning
M101,"Although less severe than the other option, this choice still carries a risk of an increased loss","Despite possessing the lowest of lows, this option unpredictably outshines its rival at times",llama,,prob_and_value_for_winning
M102,"Relish in frequent rewards that shine most times, though occasionally overshadowed by rarer, bolder wins",Step into an arena where victory is either a subtle miss or a resounding success,gemini,"(40, 15, 0.65)",prob_and_value_for_winning
M102,"Relish in frequent rewards that shine most times, though occasionally overshadowed by rarer, bolder wins",Step into an arena where victory is either a subtle miss or a resounding success,llama,,prob_and_value_for_winning
M103,"This tame option offers no financial highs or lows, only a neutral outcome every time",This option promises large rewards,gemini,"(0, 0, 0.25)",prob_and_value_for_winning
M103,"This tame option offers no financial highs or lows, only a neutral outcome every time",This option promises large rewards,llama,,prob_and_value_for_winning
M104,"Most of the time the loss is minor, though there is a chance of a more significant setback",You'll face a high chance of the bare minimum payout,gemini,,prob_and_value_for_winning
M104,"Most of the time the loss is minor, though there is a chance of a more significant setback",You'll face a high chance of the bare minimum payout,llama,,prob_and_value_for_winning
M105,You will receive a small gain without any risk of loss,"For the spirited risk-taker, seeking a balance between the prospect of handsome rewards and the likelihood of losses",gemini,"(10, 15, 0.75)",prob_and_value_for_winning
M105,You will receive a small gain without any risk of loss,"For the spirited risk-taker, seeking a balance between the prospect of handsome rewards and the likelihood of losses",llama,,prob_and_value_for_winning
M106,The regularity of a slightly more favorable outcome makes this choice stand out if consistency is key for you,"With this option, you are more likely to get a less unfavorable outcome, but you risk a significant loss occasionally",gemini,,prob_and_value_for_winning
M106,The regularity of a slightly more favorable outcome makes this choice stand out if consistency is key for you,"With this option, you are more likely to get a less unfavorable outcome, but you risk a significant loss occasionally",llama,,prob_and_value_for_winning
M107,"Though it may seem alluring with its occasional better payoff, the persistent presence of losses overshadows such glimmers","This option offers a possibility of winning with a relatively high chance, but also comes with a risk of a substantial loss",gemini,"(-15, 10, 0.2)",prob_and_value_for_winning
M107,"Though it may seem alluring with its occasional better payoff, the persistent presence of losses overshadows such glimmers","This option offers a possibility of winning with a relatively high chance, but also comes with a risk of a substantial loss",llama,,prob_and_value_for_winning
M108,The guarantee of a positive outcome makes this option fail-safe,"This option consistently offers a win, often substantial, with no chance of losing and outscores its counterpart",gemini,"(0, 75, 0.0)",prob_and_value_for_winning
M108,The guarantee of a positive outcome makes this option fail-safe,"This option consistently offers a win, often substantial, with no chance of losing and outscores its counterpart",llama,,prob_and_value_for_winning
M109,"This choice may seem appealing for its safety, but it lacks the excitement and higher rewards that come with taking risks",Brace for volatility with this lofty yet risky option,gemini,"(30, 40, 0.35)",prob_and_value_for_winning
M109,"This choice may seem appealing for its safety, but it lacks the excitement and higher rewards that come with taking risks",Brace for volatility with this lofty yet risky option,llama,,prob_and_value_for_winning
M110,"For those who are looking for a more significant win, this bet provides an enticing outcome that can be substantially larger than the loss","Secure in its consistency and odds, this option stands above in terms of stability, often edging out its peer",gemini,"(30, 60, 0.3)",prob_and_value_for_winning
M110,"For those who are looking for a more significant win, this bet provides an enticing outcome that can be substantially larger than the loss","Secure in its consistency and odds, this option stands above in terms of stability, often edging out its peer",llama,,prob_and_value_for_winning
M111,"This choice offers a modest reward more frequently, or a more substantial setback less frequently","This option is ideal for those willing to embrace risk in exchange for the possibility of a sizable payoff, far surpassing the other choice's benefits",gemini,"(40, 50, 0.3)",prob_and_value_for_winning
M111,"This choice offers a modest reward more frequently, or a more substantial setback less frequently","This option is ideal for those willing to embrace risk in exchange for the possibility of a sizable payoff, far surpassing the other choice's benefits",llama,,prob_and_value_for_winning
M112,Expect repeated disappointments with this option,"With fluctuating fortunes, this option offers a thrill, boasting the largest rewards at the cost of potential setbacks",gemini,"(-50, 20, 0.1)",prob_and_value_for_winning
M112,Expect repeated disappointments with this option,"With fluctuating fortunes, this option offers a thrill, boasting the largest rewards at the cost of potential setbacks",llama,,prob_and_value_for_winning
M113,"Smooth sailing ahead for those seeking stability, without the troughs yet with potential crests","With a considerable risk of loss, a bright spot exists in this bet",gemini,"(40, 10, 0.7)",prob_and_value_for_winning
M113,"Smooth sailing ahead for those seeking stability, without the troughs yet with potential crests","With a considerable risk of loss, a bright spot exists in this bet",llama,,prob_and_value_for_winning
M114,You won't lose,This option generally hovers in the red,gemini,"(50, -40, 0.95)",prob_and_value_for_winning
M114,You won't lose,This option generally hovers in the red,llama,,prob_and_value_for_winning
M115,This option often outshines the other,"This choice offers a low probability of a sizable gain against a backdrop of more frequent, though manageable, losses",gemini,"(60, -20, 0.85)",prob_and_value_for_winning
M115,This option often outshines the other,"This choice offers a low probability of a sizable gain against a backdrop of more frequent, though manageable, losses",llama,,prob_and_value_for_winning
M118,"Peaceful sleep is guaranteed with this choice, thanks to its assurance of positive, if humble, results","The potential for a big bonus is quite low, so set your expectations for mostly minimal positive results",gemini,"(30, 10, 0.85)",prob_and_value_for_winning
M118,"Peaceful sleep is guaranteed with this choice, thanks to its assurance of positive, if humble, results","The potential for a big bonus is quite low, so set your expectations for mostly minimal positive results",llama,,prob_and_value_for_winning
M119,"Less unpredictable yet inclined to disappoint, this wager is known for its restrained results","Although this choice offers a possibility for notable gains, it comes with the risk of a considerable decrease in your standing",gemini,,prob_and_value_for_winning
M119,"Less unpredictable yet inclined to disappoint, this wager is known for its restrained results","Although this choice offers a possibility for notable gains, it comes with the risk of a considerable decrease in your standing",llama,,prob_and_value_for_winning
M12,"When compared to its counterpart, it offers less variability and a smaller potential outcome but ensures a stable win","This choice is better for those who are willing to take the risk for a chance at a high payoff, with the understanding that a more modest benefit is far more likely",gemini,"(38, 45, 0.63)",prob_and_value_for_winning
M12,"When compared to its counterpart, it offers less variability and a smaller potential outcome but ensures a stable win","This choice is better for those who are willing to take the risk for a chance at a high payoff, with the understanding that a more modest benefit is far more likely",llama,,prob_and_value_for_winning
M120,Common wins and seldom losses make this a generally joyous option,"An enticing yet unpredictable option, it offers a glimmer of substantial wins over frequent lows",gemini,"(75, 50, 0.75)",prob_and_value_for_winning
M120,Common wins and seldom losses make this a generally joyous option,"An enticing yet unpredictable option, it offers a glimmer of substantial wins over frequent lows",llama,,prob_and_value_for_winning
M121,"Opt for the chance where a gain is much more probable, setting it apart from alternatives where losses are more substantial",Embrace the higher chance of gain,gemini,"(13, 9, 0.65)",prob_and_value_for_winning
M121,"Opt for the chance where a gain is much more probable, setting it apart from alternatives where losses are more substantial",Embrace the higher chance of gain,llama,,prob_and_value_for_winning
M122,"This bet plays it safe, delivering positive outcomes without the fear of losing",Risk high for the chance of a higher reward,gemini,"(25, 40, 0.3)",prob_and_value_for_winning
M122,"This bet plays it safe, delivering positive outcomes without the fear of losing",Risk high for the chance of a higher reward,llama,,prob_and_value_for_winning
M123,Risk-takers may find this option's rare highs worth it,This high-variance bet offers equal opportunity for wins and losses,gemini,"(20, 0, 0.55)",prob_and_value_for_winning
M123,Risk-takers may find this option's rare highs worth it,This high-variance bet offers equal opportunity for wins and losses,llama,,prob_and_value_for_winning
M124,This sure-loss option still manages to provide more consistency and better returns than the other option,It's a risky bet that can soar or sink,gemini,"(20, 0, 0.8)",prob_and_value_for_winning
M124,This sure-loss option still manages to provide more consistency and better returns than the other option,It's a risky bet that can soar or sink,llama,,prob_and_value_for_winning
M125,The security of knowing the result comes with the trade-off of not having any upside,It impresses with exceptional wins,gemini,"(40, 70, 0.25)",prob_and_value_for_winning
M125,The security of knowing the result comes with the trade-off of not having any upside,It impresses with exceptional wins,llama,,prob_and_value_for_winning
M126,"A blend of reliability and occasional triumph, this choice stands sturdy, boasting a robust reward potential","Venture into this option with caution, as the penalty for losing is meaningful and impactful",gemini,"(70, -40, 0.85)",prob_and_value_for_winning
M126,"A blend of reliability and occasional triumph, this choice stands sturdy, boasting a robust reward potential","Venture into this option with caution, as the penalty for losing is meaningful and impactful",llama,,prob_and_value_for_winning
M127,Ensure a positive result without the anxiety of uncertainty,This option could soar high or plunge deep,gemini,"(50, 0, 0.6)",prob_and_value_for_winning
M127,Ensure a positive result without the anxiety of uncertainty,This option could soar high or plunge deep,llama,,prob_and_value_for_winning
M128,"For a sure thing in losses, this option's your go-to","For those who like extremes, this option provides soaring highs along with the risk of considerable lows",gemini,"(-50, -10, 0.1)",prob_and_value_for_winning
M128,"For a sure thing in losses, this option's your go-to","For those who like extremes, this option provides soaring highs along with the risk of considerable lows",llama,,prob_and_value_for_winning
M13,"Upon choosing this, you lock in a minor negative result",A bolder bet teetering towards fortune more than failure,gemini,,prob_and_value_for_winning
M13,"Upon choosing this, you lock in a minor negative result",A bolder bet teetering towards fortune more than failure,llama,,prob_and_value_for_winning
M130,Opting for this option means forgoing any chance of beating the other,It surpasses the other choice for anyone who seeks the possibility of a significantly higher reward despite its low probability,gemini,"(40, 30, 0.6)",prob_and_value_for_winning
M130,Opting for this option means forgoing any chance of beating the other,It surpasses the other choice for anyone who seeks the possibility of a significantly higher reward despite its low probability,llama,,prob_and_value_for_winning
M131,Pick this option,Pledge to a venture where the pinnacle of success comes hand-in-hand with the specter of notable shortfall,gemini,"(10, -30, 0.7)",prob_and_value_for_winning
M131,Pick this option,Pledge to a venture where the pinnacle of success comes hand-in-hand with the specter of notable shortfall,llama,,prob_and_value_for_winning
M132,"Favoring the bleak side of fortune, this option frequently delivers a negative outcome, with a rare positive average","This choice dares you with its volatility, yet sometimes it towers with gratifying highs",gemini,,prob_and_value_for_winning
M132,"Favoring the bleak side of fortune, this option frequently delivers a negative outcome, with a rare positive average","This choice dares you with its volatility, yet sometimes it towers with gratifying highs",llama,,prob_and_value_for_winning
M133,"Embrace the steadfast option, free from the potential for losses, yet void of profits",Choosing this means accepting the possibility of a significant financial downside,gemini,"(0, -20, 1.0)",prob_and_value_for_winning
M133,"Embrace the steadfast option, free from the potential for losses, yet void of profits",Choosing this means accepting the possibility of a significant financial downside,llama,,prob_and_value_for_winning
M134,"A paradoxical choice that seems to lose by design, yet often fares better in the long run thanks to its frequent small victories",Holds the allure of a significant reward but is frequently tinged with regret,gemini,"(0, -1, 0.85)",prob_and_value_for_winning
M134,"A paradoxical choice that seems to lose by design, yet often fares better in the long run thanks to its frequent small victories",Holds the allure of a significant reward but is frequently tinged with regret,llama,,prob_and_value_for_winning
M135,"With this choice, you can have peace of mind, free from the risk of losing",Get ready for a rollercoaster ride,gemini,"(70, 10, 0.85)",prob_and_value_for_winning
M135,"With this choice, you can have peace of mind, free from the risk of losing",Get ready for a rollercoaster ride,llama,,prob_and_value_for_winning
M136,"Although perpetually negative, this option clinches more favorable odds",Expect a rollercoaster with this wager,gemini,"(-20, -10, 0.6)",prob_and_value_for_winning
M136,"Although perpetually negative, this option clinches more favorable odds",Expect a rollercoaster with this wager,llama,,prob_and_value_for_winning
M137,The promise of perpetual payoff makes this option,This choice presents the opportunity for a notably larger gain compared to its alternative,gemini,"(40, 60, 0.6)",prob_and_value_for_winning
M137,The promise of perpetual payoff makes this option,This choice presents the opportunity for a notably larger gain compared to its alternative,llama,,prob_and_value_for_winning
M138,Shine bright with this reliably rewarding option,Expect the thrill of a substantial maximum win against the backdrop of many smaller losses,gemini,"(30, 10, 0.85)",prob_and_value_for_winning
M138,Shine bright with this reliably rewarding option,Expect the thrill of a substantial maximum win against the backdrop of many smaller losses,llama,,prob_and_value_for_winning
M139,"This option, locked into constant loss, surprisingly edges out the other with a higher average gain and steadier outcomes","Expect a rollercoaster with this wager, promising the peak win and the nadir loss, but often the odds favor fortune",gemini,"(-10, 20, 0.6)",prob_and_value_for_winning
M139,"This option, locked into constant loss, surprisingly edges out the other with a higher average gain and steadier outcomes","Expect a rollercoaster with this wager, promising the peak win and the nadir loss, but often the odds favor fortune",llama,,prob_and_value_for_winning
M14,A promising bet outperforming its rival with consistent gains and a tendency towards more wins and fewer risks,A tempting yet treacherous bet carries a heavier risk of loss,gemini,"(40, -30, 0.85)",prob_and_value_for_winning
M14,A promising bet outperforming its rival with consistent gains and a tendency towards more wins and fewer risks,A tempting yet treacherous bet carries a heavier risk of loss,llama,,prob_and_value_for_winning
